supplier,vnr,ean,name,default_qty,unit,note
HB heildverslun,SK141142,,Lemon & Avocado Oil Vinaigrette,,,Stonewall Kitchen; keypt 2019: 9
HB heildverslun,SK150813,,Classic Pizza Sauce,,,Stonewall Kitchen; keypt 2019: 42
HB heildverslun,SK161001,,Lemon Curd,,,Stonewall Kitchen; keypt 2019: 28
HB heildverslun,SK161012,,Dulce De Leche Sauce,,,Stonewall Kitchen; keypt 2019: 14
HB heildverslun,SK161018,,Dark Chocolate Sea Salt Caramel Sauce,,,Stonewall Kitchen; keypt 2019: 22
HB heildverslun,SK161082,,Sea Salt Caramel Sauce,,,Stonewall Kitchen; keypt 2019: 25
HB heildverslun,SK170801,,Small Maine Maple Syrup,,,Stonewall Kitchen; keypt 2019: 9
HB heildverslun,SK251804,,Coconut Curry Simmering Sauce,,,Stonewall Kitchen; keypt 2019: 24
HB heildverslun,SK251814,,Tikka Masala Simmering Sauce,,,Stonewall Kitchen; keypt 2019: 9
HB heildverslun,SK251819,,Roasted Garlic Basil Sauce Ný stærri pak,,,Stonewall Kitchen; keypt 2019: 18
HB heildverslun,SK251820,,Traditional Marinara NÝ stærri pakkning,,,Stonewall Kitchen; keypt 2019: 20
HB heildverslun,SK261607,,Country Ketchup,,,Stonewall Kitchen; keypt 2019: 4
HB heildverslun,SK261608,,Spicy Corn Relish,,,Stonewall Kitchen; keypt 2019: 17
HB heildverslun,SK261615,,Farmhouse Red Relish,,,Stonewall Kitchen; keypt 2019: 9
HB heildverslun,SK261633,,Mustard Pickle Relish,,,Stonewall Kitchen; keypt 2019: 6
HB heildverslun,SK551013,,Italian Dipping Oil,,,Stonewall Kitchen; keypt 2019: 8
HB heildverslun,SK551024,,Garlic Parmesan Dipping Oil,,,Stonewall Kitchen; keypt 2019: 25
HB heildverslun,SK551109,,Small Farmhouse Pancake & Waffle Mix,,,Stonewall Kitchen; keypt 2019: 25
HB heildverslun,SK551825,,Wild Flower Honey NÝTT,,,Stonewall Kitchen; keypt 2019: 6
HB heildverslun,SK553006,,Rosemary Parmesan Crackers,,,Stonewall Kitchen; keypt 2019: 36
HB heildverslun,SK553010,,Sea Salt Crackers,,,Stonewall Kitchen; keypt 2019: 42
HB heildverslun,SK553063,,Salt & Pepper Crackers,,,Stonewall Kitchen; keypt 2019: 30
HB heildverslun,SK553149,,Sea Salt Caramel BROWNIE MIX,,,Stonewall Kitchen; keypt 2019: 3
HB heildverslun,SK553564,,Aged Parmesan Cheese Sticks,,,Stonewall Kitchen; keypt 2019: 22
HB heildverslun,SMART010,,SMARTSHAKE SLIM - Stormy Grey,,,SmartShake; keypt 2019: 2
HB heildverslun,SMART011,,SMARTSHAKE SLIM - Lavander,,,SmartShake; keypt 2019: 2
